_id,writer,content,suefull,date,rating
67a325f70a6b3aea36671917,아기돼지삼용,관리자에게 문의 주세요. 라고 경고창 이후에 아무것도 진행이 안 되요.,0,2022년 7월 12일,1
67a325f70a6b3aea36671918,뚱더지,카드결제도 안되 삼성페이도 안되 이딴어플이 있음,0,2023년 6월 27일,1
67a325f70a6b3aea36671919,달별,많이 바뀌었네요. 기말 고사 끝났으니. 놀러 고고고. ㅋ,1,2024년 6월 30일,5
67a325f70a6b3aea3667191a,댓글싸움심판,회원가입하려는데 본인확인 번호가 안와요 카톡으로 오고있었네요 죄송합니다,0,2022년 12월 20일,5
67a325f70a6b3aea3667191b,민초나무,덕분에 잘 쓰고 있습니당 후후,0,2022년 4월 21일,5
67a325f70a6b3aea3667191c,Michael Jeong,이제 오류가 수정되니 사용하기 편하네요,1,2022년 4월 13일,5
67a325f70a6b3aea3667191d,배주은,집주변 스카 정보 알 수 있어서 유용하게 쓰고 있어요👍👍,1,2022년 4월 21일,5
67a325f70a6b3aea3667191e,이루어져라,에러 관리자에게 문의하세요. 계속 뜨고 하얀화면 버퍼링 해결해주세요.,0,2022년 8월 25일,2
67a325f70a6b3aea3667191f,뮤무,어플이 자꾸 튕기고 작동이 안돼요,0,2022년 1월 2일,3
67a325f70a6b3aea36671920,brian lryan,사물함 4주연장 오류뜨고 안돼요,0,2023년 9월 14일,2
67a325f70a6b3aea36671921,김나연,어플이 안들어가져요 ㅠ 자꾸 튕김 ㅠ,1,2022년 2월 5일,2
67a325f70a6b3aea36671922,송피디,실행이 안됩니다,2,2021년 11월 17일,1
67a325f70a6b3aea36671923,허영행,무인24시 스터디 운영중입니다 와우플 에서 제 스터디카페 누르면 24시가 뜨지않고 코로나 제안시간 이였을때 시간으로 떠요 ㅠㅠ오전6시~21시까지로 되어 있는데 24시운영으로 어떻게 변경하는지 모르겠습니다 알려주세요,0,2023년 8월 1일,5
67a325f70a6b3aea36671924,김수인,뭐 어떻게 쓰라는건지 불편함,0,2022년 3월 21일,1
67a325f70a6b3aea36671925,조미연,오류 뜨면서 관리자에게 문의하라는데 해결 부탁드려요.,0,2022년 8월 25일,1
67a325f80a6b3aea36671926,헤헿,잘 이용하고 있습니다.,1,2024년 3월 20일,5
67a325f80a6b3aea36671927,강강강,앱이 안돼요,0,2021년 11월 18일,1
67a325f80a6b3aea36671928,Jim,유용합니다~,0,2023년 11월 5일,5
67a325f80a6b3aea36671929,김용민,간단명료,0,2021년 1월 13일,5
